model,seed,fold,params_30,params_60,params_120
hist_gbm@binned,5,1,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}"
ridge@highres,5,2,"{""alpha"": 1000.0}","{""alpha"": 1000.0}","{""alpha"": 1000.0}"
svr_rbf@highres,5,2,"{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 1.0, ""gamma"": 0.01, ""epsilon"": 0.05}","{""C"": 1.0, ""gamma"": 0.01, ""epsilon"": 0.05}"
random_forest@highres,5,2,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}","{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}"
hist_gbm@highres,5,2,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}"
lightgbm@highres,5,2,"{""learning_rate"": 0.05, ""num_leaves"": 15}","{""learning_rate"": 0.05, ""num_leaves"": 15}","{""learning_rate"": 0.1, ""num_leaves"": 31}"
xgboost@highres,5,2,"{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.05, ""max_depth"": 3}","{""learning_rate"": 0.05, ""max_depth"": 6}"
catboost@highres,5,2,"{""learning_rate"": 0.1, ""depth"": 4}","{""learning_rate"": 0.05, ""depth"": 4}","{""learning_rate"": 0.05, ""depth"": 4}"
ridge@binned,5,2,"{""alpha"": 1000.0}","{""alpha"": 1000.0}","{""alpha"": 1000.0}"
random_forest@binned,5,2,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}","{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 1}"
hist_gbm@binned,5,2,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}"
ridge@highres,5,3,"{""alpha"": 100.0}","{""alpha"": 1000.0}","{""alpha"": 1000.0}"
svr_rbf@highres,5,3,"{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 1.0, ""gamma"": 0.01, ""epsilon"": 0.05}"
random_forest@highres,5,3,"{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 1}"
hist_gbm@highres,5,3,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}"
lightgbm@highres,5,3,"{""learning_rate"": 0.1, ""num_leaves"": 31}","{""learning_rate"": 0.05, ""num_leaves"": 31}","{""learning_rate"": 0.05, ""num_leaves"": 15}"
xgboost@highres,5,3,"{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.05, ""max_depth"": 3}","{""learning_rate"": 0.05, ""max_depth"": 3}"
catboost@highres,5,3,"{""learning_rate"": 0.05, ""depth"": 6}","{""learning_rate"": 0.1, ""depth"": 4}","{""learning_rate"": 0.05, ""depth"": 6}"
ridge@binned,5,3,"{""alpha"": 10.0}","{""alpha"": 1000.0}","{""alpha"": 1000.0}"
random_forest@binned,5,3,"{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 3}"
hist_gbm@binned,5,3,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}"
ridge@highres,5,4,"{""alpha"": 10.0}","{""alpha"": 10.0}","{""alpha"": 10.0}"
svr_rbf@highres,5,4,"{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.05}"
random_forest@highres,5,4,"{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 1}"
hist_gbm@highres,5,4,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}"
lightgbm@highres,5,4,"{""learning_rate"": 0.05, ""num_leaves"": 15}","{""learning_rate"": 0.05, ""num_leaves"": 15}","{""learning_rate"": 0.1, ""num_leaves"": 31}"
xgboost@highres,5,4,"{""learning_rate"": 0.1, ""max_depth"": 6}","{""learning_rate"": 0.1, ""max_depth"": 6}","{""learning_rate"": 0.05, ""max_depth"": 6}"
catboost@highres,5,4,"{""learning_rate"": 0.05, ""depth"": 6}","{""learning_rate"": 0.1, ""depth"": 4}","{""learning_rate"": 0.05, ""depth"": 4}"
ridge@binned,5,4,"{""alpha"": 10.0}","{""alpha"": 1.0}","{""alpha"": 10.0}"
random_forest@binned,5,4,"{""max_features"": 0.3, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 3}"
hist_gbm@binned,5,4,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}"
ridge@highres,6,0,"{""alpha"": 100.0}","{""alpha"": 100.0}","{""alpha"": 100.0}"
svr_rbf@highres,6,0,"{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}"
random_forest@highres,6,0,"{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 1}"
hist_gbm@highres,6,0,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
lightgbm@highres,6,0,"{""learning_rate"": 0.1, ""num_leaves"": 15}","{""learning_rate"": 0.1, ""num_leaves"": 31}","{""learning_rate"": 0.05, ""num_leaves"": 31}"
xgboost@highres,6,0,"{""learning_rate"": 0.05, ""max_depth"": 3}","{""learning_rate"": 0.05, ""max_depth"": 3}","{""learning_rate"": 0.05, ""max_depth"": 3}"
catboost@highres,6,0,"{""learning_rate"": 0.05, ""depth"": 4}","{""learning_rate"": 0.1, ""depth"": 6}","{""learning_rate"": 0.05, ""depth"": 4}"
ridge@binned,6,0,"{""alpha"": 10.0}","{""alpha"": 10.0}","{""alpha"": 100.0}"
random_forest@binned,6,0,"{""max_features"": 0.3, ""min_samples_leaf"": 1}","{""max_features"": 0.3, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 1}"
hist_gbm@binned,6,0,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}"
ridge@highres,6,1,"{""alpha"": 100.0}","{""alpha"": 10.0}","{""alpha"": 10.0}"
svr_rbf@highres,6,1,"{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.05}"
random_forest@highres,6,1,"{""max_features"": 0.3, ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 3}"
hist_gbm@highres,6,1,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
lightgbm@highres,6,1,"{""learning_rate"": 0.1, ""num_leaves"": 15}","{""learning_rate"": 0.1, ""num_leaves"": 31}","{""learning_rate"": 0.05, ""num_leaves"": 15}"
xgboost@highres,6,1,"{""learning_rate"": 0.05, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 6}"
catboost@highres,6,1,"{""learning_rate"": 0.1, ""depth"": 6}","{""learning_rate"": 0.1, ""depth"": 6}","{""learning_rate"": 0.1, ""depth"": 4}"
ridge@binned,6,1,"{""alpha"": 1.0}","{""alpha"": 0.1}","{""alpha"": 0.1}"
random_forest@binned,6,1,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 3}"
hist_gbm@binned,6,1,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}"
ridge@highres,6,2,"{""alpha"": 100.0}","{""alpha"": 100.0}","{""alpha"": 100.0}"
svr_rbf@highres,6,2,"{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.2}"
random_forest@highres,6,2,"{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 1}"
hist_gbm@highres,6,2,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
lightgbm@highres,6,2,"{""learning_rate"": 0.1, ""num_leaves"": 31}","{""learning_rate"": 0.05, ""num_leaves"": 15}","{""learning_rate"": 0.05, ""num_leaves"": 31}"
xgboost@highres,6,2,"{""learning_rate"": 0.05, ""max_depth"": 3}","{""learning_rate"": 0.05, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 3}"
catboost@highres,6,2,"{""learning_rate"": 0.1, ""depth"": 4}","{""learning_rate"": 0.05, ""depth"": 6}","{""learning_rate"": 0.1, ""depth"": 4}"
ridge@binned,6,2,"{""alpha"": 100.0}","{""alpha"": 100.0}","{""alpha"": 100.0}"
random_forest@binned,6,2,"{""max_features"": 0.3, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 0.3, ""min_samples_leaf"": 3}"
hist_gbm@binned,6,2,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}"
ridge@highres,6,3,"{""alpha"": 100.0}","{""alpha"": 1000.0}","{""alpha"": 1000.0}"
svr_rbf@highres,6,3,"{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 1.0, ""gamma"": 0.01, ""epsilon"": 0.05}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}"
random_forest@highres,6,3,"{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": ""sqrt"", ""min_samples_leaf"": 1}","{""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"
hist_gbm@highres,6,3,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
lightgbm@highres,6,3,"{""learning_rate"": 0.05, ""num_leaves"": 15}","{""learning_rate"": 0.1, ""num_leaves"": 15}","{""learning_rate"": 0.1, ""num_leaves"": 31}"
xgboost@highres,6,3,"{""learning_rate"": 0.05, ""max_depth"": 6}","{""learning_rate"": 0.05, ""max_depth"": 6}","{""learning_rate"": 0.05, ""max_depth"": 3}"
catboost@highres,6,3,"{""learning_rate"": 0.1, ""depth"": 4}","{""learning_rate"": 0.1, ""depth"": 4}","{""learning_rate"": 0.05, ""depth"": 6}"
ridge@binned,6,3,"{""alpha"": 100.0}","{""alpha"": 100.0}","{""alpha"": 100.0}"
random_forest@binned,6,3,"{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}","{""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"
hist_gbm@binned,6,3,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
ridge@highres,6,4,"{""alpha"": 100.0}","{""alpha"": 100.0}","{""alpha"": 100.0}"
svr_rbf@highres,6,4,"{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 100.0, ""gamma"": 0.01, ""epsilon"": 0.2}","{""C"": 10.0, ""gamma"": 0.01, ""epsilon"": 0.2}"
random_forest@highres,6,4,"{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 3}"
hist_gbm@highres,6,4,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}"
lightgbm@highres,6,4,"{""learning_rate"": 0.1, ""num_leaves"": 31}","{""learning_rate"": 0.1, ""num_leaves"": 15}","{""learning_rate"": 0.1, ""num_leaves"": 31}"
xgboost@highres,6,4,"{""learning_rate"": 0.05, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 6}","{""learning_rate"": 0.1, ""max_depth"": 3}"
catboost@highres,6,4,"{""learning_rate"": 0.1, ""depth"": 4}","{""learning_rate"": 0.05, ""depth"": 4}","{""learning_rate"": 0.05, ""depth"": 4}"
ridge@binned,6,4,"{""alpha"": 1.0}","{""alpha"": 100.0}","{""alpha"": 100.0}"
random_forest@binned,6,4,"{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 0.3, ""min_samples_leaf"": 1}"
hist_gbm@binned,6,4,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
ridge@highres,7,0,"{""alpha"": 100.0}","{""alpha"": 100.0}","{""alpha"": 100.0}"
svr_rbf@highres,7,0,"{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}"
random_forest@highres,7,0,"{""max_features"": 0.3, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 3}"
hist_gbm@highres,7,0,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
lightgbm@highres,7,0,"{""learning_rate"": 0.05, ""num_leaves"": 15}","{""learning_rate"": 0.05, ""num_leaves"": 31}","{""learning_rate"": 0.05, ""num_leaves"": 15}"
xgboost@highres,7,0,"{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.05, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 3}"
catboost@highres,7,0,"{""learning_rate"": 0.1, ""depth"": 4}","{""learning_rate"": 0.1, ""depth"": 4}","{""learning_rate"": 0.05, ""depth"": 6}"
ridge@binned,7,0,"{""alpha"": 100.0}","{""alpha"": 100.0}","{""alpha"": 100.0}"
random_forest@binned,7,0,"{""max_features"": 0.3, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 3}"
hist_gbm@binned,7,0,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
ridge@highres,7,1,"{""alpha"": 10.0}","{""alpha"": 100.0}","{""alpha"": 100.0}"
svr_rbf@highres,7,1,"{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}"
random_forest@highres,7,1,"{""max_features"": 0.3, ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 3}"
hist_gbm@highres,7,1,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}"
lightgbm@highres,7,1,"{""learning_rate"": 0.1, ""num_leaves"": 15}","{""learning_rate"": 0.05, ""num_leaves"": 31}","{""learning_rate"": 0.05, ""num_leaves"": 31}"
xgboost@highres,7,1,"{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 3}"
catboost@highres,7,1,"{""learning_rate"": 0.1, ""depth"": 4}","{""learning_rate"": 0.05, ""depth"": 4}","{""learning_rate"": 0.1, ""depth"": 6}"
ridge@binned,7,1,"{""alpha"": 1.0}","{""alpha"": 10.0}","{""alpha"": 100.0}"
random_forest@binned,7,1,"{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 1}"
hist_gbm@binned,7,1,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
ridge@highres,7,2,"{""alpha"": 100.0}","{""alpha"": 100.0}","{""alpha"": 100.0}"
svr_rbf@highres,7,2,"{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 10.0, ""gamma"": 0.01, ""epsilon"": 0.2}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}"
random_forest@highres,7,2,"{""max_features"": 0.3, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 0.3, ""min_samples_leaf"": 1}"
hist_gbm@highres,7,2,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}"
lightgbm@highres,7,2,"{""learning_rate"": 0.1, ""num_leaves"": 15}","{""learning_rate"": 0.05, ""num_leaves"": 15}","{""learning_rate"": 0.05, ""num_leaves"": 31}"
xgboost@highres,7,2,"{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.05, ""max_depth"": 3}","{""learning_rate"": 0.05, ""max_depth"": 3}"
catboost@highres,7,2,"{""learning_rate"": 0.05, ""depth"": 4}","{""learning_rate"": 0.1, ""depth"": 4}","{""learning_rate"": 0.1, ""depth"": 6}"
ridge@binned,7,2,"{""alpha"": 0.1}","{""alpha"": 100.0}","{""alpha"": 100.0}"
random_forest@binned,7,2,"{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}"
hist_gbm@binned,7,2,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
ridge@highres,7,3,"{""alpha"": 100.0}","{""alpha"": 1000.0}","{""alpha"": 1000.0}"
svr_rbf@highres,7,3,"{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}"
random_forest@highres,7,3,"{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 1}"
hist_gbm@highres,7,3,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}"
lightgbm@highres,7,3,"{""learning_rate"": 0.05, ""num_leaves"": 31}","{""learning_rate"": 0.1, ""num_leaves"": 31}","{""learning_rate"": 0.05, ""num_leaves"": 15}"
xgboost@highres,7,3,"{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 3}"
catboost@highres,7,3,"{""learning_rate"": 0.05, ""depth"": 4}","{""learning_rate"": 0.05, ""depth"": 6}","{""learning_rate"": 0.05, ""depth"": 6}"
ridge@binned,7,3,"{""alpha"": 0.01}","{""alpha"": 1000.0}","{""alpha"": 1000.0}"
random_forest@binned,7,3,"{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 1}"
hist_gbm@binned,7,3,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
ridge@highres,7,4,"{""alpha"": 100.0}","{""alpha"": 100.0}","{""alpha"": 100.0}"
svr_rbf@highres,7,4,"{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.05}"
random_forest@highres,7,4,"{""max_features"": 0.3, ""min_samples_leaf"": 1}","{""max_features"": 0.3, ""min_samples_leaf"": 1}","{""max_features"": 0.3, ""min_samples_leaf"": 1}"
hist_gbm@highres,7,4,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}"
lightgbm@highres,7,4,"{""learning_rate"": 0.05, ""num_leaves"": 15}","{""learning_rate"": 0.05, ""num_leaves"": 31}","{""learning_rate"": 0.1, ""num_leaves"": 31}"
xgboost@highres,7,4,"{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.05, ""max_depth"": 6}","{""learning_rate"": 0.05, ""max_depth"": 6}"
catboost@highres,7,4,"{""learning_rate"": 0.05, ""depth"": 4}","{""learning_rate"": 0.1, ""depth"": 4}","{""learning_rate"": 0.1, ""depth"": 4}"
ridge@binned,7,4,"{""alpha"": 0.01}","{""alpha"": 10.0}","{""alpha"": 10.0}"
random_forest@binned,7,4,"{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 0.3, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}"
hist_gbm@binned,7,4,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}"
